name,type,sectors,stages,geographies,min_cheque_gbp,max_cheque_gbp,website,notable_portfolio,description,sector_count,geo_count,stage_count
Accel,VC,"FinTech, SaaS, Cybersecurity","Series A, Series B, Series C+","UK, Europe, Global",2000000,30000000,https://www.accel.com,"Spotify, Dropbox, Slack, UiPath, CrowdStrike",Global growth investor backing enterprise software and fintech category leaders.,3,3,3
Balderton Capital,VC,"SaaS, FinTech, MarketPlace, HealthTech","Series A, Series B, Series C+","Europe, UK",3000000,25000000,https://www.balderton.com,"Revolut, Betfair, Depop, Wolt, Darktrace",European-focused growth investor known for backing iconic consumer and B2B software.,4,2,3
Index Ventures,VC,"FinTech, SaaS, E-Commerce, MarketPlace","Seed, Series A, Series B, Series C+","Europe, UK, Global",1000000,40000000,https://www.indexventures.com,"Wise, Deliveroo, Figma, Robinhood, Squarespace",Transatlantic fund investing from seed to growth across fintech and consumer internet.,4,3,4
Atomico,VC,"DeepTech, SaaS, CleanTech, FinTech","Series A, Series B, Series C+","Europe, UK",5000000,50000000,https://www.atomico.com,"Klarna, Hinge, Supercell, PicsArt, Doctor Care Anywhere",Skype-founder-backed fund investing in ambitious European technology companies.,4,2,3
Sequoia Capital,VC,"SaaS, FinTech, DeepTech, Cybersecurity","Series A, Series B, Series C+, Growth","Global, UK",5000000,100000000,https://www.sequoiacap.com,"Apple, Google, Airbnb, Stripe, WhatsApp",Legendary Silicon Valley fund backing transformative global technology companies.,4,2,4
LocalGlobe,VC,"FinTech, SaaS, MarketPlace, EdTech","Seed, Series A","UK, Europe",250000,2000000,https://www.localglobe.vc,"Wise, Robinhood, Plum, Improbable, Lendable",London seed investor focused on ambitious founders solving important global problems.,4,2,2
Seedcamp,VC,"SaaS, FinTech, DeepTech, MarketPlace","Pre-Seed, Seed","Europe, UK",50000,400000,https://www.seedcamp.com,"Revolut, Wise, UiPath, Tessian, Cleo",Europe's leading pre-seed and seed investor with a strong founder support network.,4,2,2
Octopus Ventures,VC,"FinTech, HealthTech, DeepTech, SaaS","Seed, Series A, Series B","UK",500000,15000000,https://www.octopusventures.com,"Elvie, Cazoo, Depop, Seccl, Secret Escapes",UK fund backing deep technology health and fintech companies from seed to growth.,4,1,3
Passion Capital,VC,"FinTech, SaaS, E-Commerce, MarketPlace","Seed, Series A","UK",100000,1500000,https://www.passioncapital.com,"Monzo, Lostmy.name, Accurx, Adzuna, Poq",London seed fund known for early Monzo bet and backing digital consumer businesses.,4,1,2
Episode 1,VC,"SaaS, FinTech, MarketPlace","Seed, Series A","UK",250000,2000000,https://www.episode1.com,"Appear Here, Carwow, Ve Interactive, Masabi",Operator-run UK fund backing exceptional B2B software and marketplace founders.,3,1,2
Molten Ventures,VC,"DeepTech, SaaS, FinTech, Cybersecurity","Series A, Series B, Series C+","Europe, UK",2000000,20000000,https://www.moltenventures.com,"Graphcore, Freetrade, Cazoo, Thought Machine, Aircall",London-listed growth fund investing in deep technology and enterprise software leaders.,4,2,3
Hoxton Ventures,VC,"SaaS, FinTech, MarketPlace, DeepTech","Seed, Series A","Europe, UK",250000,3000000,https://www.hoxtonventures.com,"Babylon Health, Deliveroo, Faculty AI, Darktrace, Lyst",US-style seed fund in London backing outlier technology companies from day one.,4,2,2
Connect Ventures,VC,"SaaS, FinTech, MarketPlace","Seed, Series A","Europe, UK",200000,1500000,https://www.connectventures.co,"Citymapper, Typeform, Blue Vision Labs",Design-led European seed investor focused on product-first software companies.,3,2,2
